playerID,GP,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,note,year
pollaji01,65,2545,1005,0,0,593,234,0,0,0,199,1155,411,260,183,0,0,11,0,469,177,0,0,71,33,0,0,0,34,173,70,50,37,0,0,,1951
spearod01,66,1673,566,0,0,303,163,0,0,0,225,570,225,152,116,0,0,6,0,123,29,0,0,21,9,0,0,0,18,33,10,16,9,0,0,,1951
cervial01,38,301,143,0,0,22,28,0,0,0,90,71,31,100,81,0,0,2,0,28,18,0,0,0,1,0,0,0,12,5,3,15,12,0,0,,1952
jorgeno01,70,1355,436,0,0,236,76,0,0,0,247,436,145,199,146,0,0,2,0,44,14,0,0,10,3,0,0,0,11,9,5,6,4,0,0,,1952
pollaji01,66,2403,859,0,0,452,231,0,0,0,194,933,333,251,193,0,0,12,0,455,172,0,0,86,49,0,0,0,37,167,62,62,48,0,0,,1952
spearod01,62,1414,595,0,0,251,113,0,0,0,227,494,198,243,199,0,0,3,0,62,20,0,0,12,0,0,0,0,12,19,8,5,4,0,0,,1952
barreer01,59,641,134,0,0,100,55,0,0,0,116,191,60,25,14,0,0,6,0,63,8,0,0,6,4,0,0,0,14,20,3,2,2,0,0,,1953
pollaji01,71,2483,831,0,0,500,214,0,0,0,161,882,326,230,179,0,0,13,0,543,160,0,0,110,41,0,0,0,27,155,56,60,48,0,0,,1953
schnidi01,71,1040,330,0,0,178,59,0,0,0,178,307,122,132,86,0,0,13,0,163,34,0,0,21,5,0,0,0,32,32,11,20,12,0,0,,1953
spearod01,72,1633,551,0,0,310,109,0,0,0,211,505,184,238,183,0,0,6,0,121,28,0,0,13,8,0,0,0,17,28,8,14,12,0,0,,1953
sundedo01,68,2232,760,0,0,225,187,0,0,0,263,748,254,337,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1953
kerrjo01,72,1529,754,0,0,474,80,0,0,0,165,718,301,223,152,0,0,11,0,363,152,0,0,118,13,0,0,0,27,151,59,61,34,0,0,,1954
pollaji01,63,1960,681,0,0,458,160,0,0,0,147,749,265,186,151,0,0,7,0,257,99,0,0,78,14,0,0,0,13,104,33,46,33,0,0,,1954
schnidi01,72,1798,750,0,0,349,114,0,0,0,231,583,226,362,298,0,0,7,0,140,53,0,0,31,7,0,0,0,23,51,14,36,25,0,0,,1954
spearod01,71,1888,672,0,0,299,148,0,0,0,252,585,226,271,220,0,0,3,0,90,35,0,0,14,10,0,0,0,14,45,12,16,11,0,0,,1954
sundedo01,45,404,114,0,0,56,37,0,0,0,57,133,33,73,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1954
barreer01,72,1451,507,0,0,243,174,0,0,0,184,533,207,118,93,0,0,3,0,43,11,0,0,7,4,0,0,0,7,13,4,3,3,0,0,,1955
garmadi01,68,870,388,0,0,132,104,0,0,0,127,373,138,139,112,0,0,3,0,42,30,0,0,8,11,0,0,0,8,19,7,17,16,0,0,,1955
kerrjo01,72,2114,961,0,0,607,84,0,0,0,168,935,377,316,207,0,0,8,0,213,89,0,0,68,10,0,0,0,23,77,37,33,15,0,0,,1955
schnidi01,72,1930,812,0,0,296,142,0,0,0,253,647,254,355,304,0,0,3,0,87,43,0,0,15,5,0,0,0,14,23,13,20,17,0,0,,1955
spearod01,72,1378,491,0,0,231,121,0,0,0,191,468,166,201,159,0,0,10,0,177,53,0,0,29,14,0,0,0,33,62,20,23,13,0,0,,1955
garmadi01,72,2406,1177,0,0,336,190,0,0,0,199,1015,406,435,365,0,0,5,0,187,65,0,0,35,17,0,0,0,19,69,19,32,27,0,0,,1956
kerrjo01,72,2191,891,0,0,807,90,0,0,0,190,827,333,313,225,0,0,5,0,162,76,0,0,69,6,0,0,0,7,65,28,29,20,0,0,,1956
schnidi01,70,997,386,0,0,185,52,0,0,0,144,351,113,193,160,0,0,5,0,83,27,0,0,12,8,0,0,0,6,21,6,17,15,0,0,,1956
spearod01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1956
spearod01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1956
garmadi01,68,2216,1094,0,0,365,183,0,0,0,190,988,390,411,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1957
kerrjo01,72,2384,1094,0,0,963,88,0,0,0,197,1020,407,422,280,0,0,3,0,116,50,0,0,61,3,0,0,0,5,55,18,18,14,0,0,,1957
schnidi01,50,979,457,0,0,211,71,0,0,0,126,357,128,237,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1957
bayloel01,70,2855,1742,0,0,1050,287,0,0,0,270,1482,605,685,532,0,0,13,0,556,331,0,0,156,43,0,0,0,52,303,122,113,87,0,0,,1958
embrywa01,66,1590,750,0,0,597,96,0,0,0,232,702,272,314,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1958
garmadi01,72,2493,984,0,0,325,211,0,0,0,226,885,350,368,284,0,0,13,0,439,189,0,0,55,39,0,0,0,44,165,70,63,49,0,0,,1958
hattove01,24,657,166,0,0,81,30,0,0,0,55,207,66,51,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1958
hattove01,40,452,209,0,0,97,48,0,0,0,56,211,83,65,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1958
kerrjo01,72,2671,1285,0,0,1008,142,0,0,0,183,1139,502,367,281,0,0,9,0,312,130,0,0,108,24,0,0,0,20,142,50,33,30,0,0,,1958
bayloel01,70,2873,2074,0,0,1150,243,0,0,0,234,1781,755,770,564,0,0,9,0,408,301,0,0,128,31,0,0,0,38,234,111,94,79,0,0,,1959
embrywa01,73,1594,773,0,0,692,83,0,0,0,226,690,303,325,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1959
ferrybo01,62,875,364,0,0,233,40,0,0,0,132,338,144,119,76,0,0,11,0,56,24,0,0,15,0,0,0,0,10,19,10,7,4,0,0,,1959
garmadi01,44,1187,513,0,0,189,133,0,0,0,126,525,198,163,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1959
garmadi01,26,745,336,0,0,124,73,0,0,0,60,290,125,100,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1959
guarige01,48,423,145,0,0,85,18,0,0,0,57,154,58,41,29,0,0,7,0,41,14,0,0,19,3,0,0,0,4,18,4,6,6,0,0,,1959
hattove01,67,1049,307,0,0,159,82,0,0,0,61,356,127,87,53,0,0,6,0,17,9,0,0,3,1,0,0,0,3,13,4,3,1,0,0,,1959
